time,latitude,longitude,elevation,speed,course,speed_smooth,course_smooth,speed_knots,speed_smooth_knots
2020-09-19T14:38:07Z,47.80542686929457,16.71479739131885,116.40433016698807,2.2850537000616833,79.09127692461169,2.7424638660450587,87.19243585301662,4.441789049795929,5.3309232817290555
2020-09-19T14:38:08Z,47.80542870600679,16.714825243800117,117.15505252126604,2.2230750761140996,84.39253112995658,2.7183648481919507,86.58668546692597,4.32131224298637,5.2840785386020634
2020-09-19T14:38:09Z,47.805430596922506,16.714858904077666,116.85213297139853,2.5435936979138596,85.21894006194685,2.7152239187706004,83.69023594720032,4.944350600696487,5.277973060245227
2020-09-19T14:38:10Z,47.805434016457895,16.714899287445114,116.32031685020775,3.0893938351174968,82.81447153299865,2.7405504616278047,83.34752199078977,6.005301191373104,5.3272039210907645
2020-09-19T14:38:11Z,47.80543671484076,16.714945952238597,116.15979246236384,3.5056064964254396,85.07933215791428,2.756413469649516,83.31931036148538,6.814353880740595,5.358039141867309
2020-09-19T14:38:12Z,47.80543719789008,16.71496389859701,116.1493720561266,2.4242665668589893,86.39222010664528,2.7302979640422587,84.77949899789209,4.712397214196739,5.307274660125341
2020-09-19T14:38:13Z,47.8054376809394,16.71498184495542,116.13895164988935,1.3429266372925388,87.70510805537629,2.685326179553081,85.44201438297603,2.610440547652883,5.219856504530827
2020-09-19T14:38:14Z,47.80543522877871,16.714983423323982,115.84266234189272,1.2110507811983455,97.55013964985119,2.6531469186310597,87.90825430055689,2.3540943910982954,5.157305025416746
2020-09-19T14:38:15Z,47.80543277661802,16.714985001692543,115.54637303389609,1.0791749251041522,107.3951712443261,2.543646301305636,92.82439424282236,2.0977482345437086,4.944452853509875
2020-09-19T14:38:16Z,47.80543032445733,16.714986580061105,115.25008372589946,0.9472990690099591,117.240202838801,2.4917916846424775,99.25656837899973,1.8414020779891211,4.843655542501576
2020-09-19T14:38:17Z,47.80542787229665,16.71498815842967,114.95379441790283,0.8154232129157658,127.0852344332759,2.4426713352748664,107.39517124432587,1.5850559214345339,4.748173221916587
2020-09-19T14:38:18Z,47.80542542013596,16.71498973679823,114.6575051099062,0.6835473568215725,136.9302660277508,2.3962852532028034,117.24020283880077,1.3287097648799466,4.658005891754909
2020-09-19T14:38:19Z,47.80542296797527,16.71499131516679,114.36121580190957,0.5516715007273794,146.7752976222257,2.3508266184356534,127.08523443327567,1.0723636083253594,4.569641374928916
2020-09-19T14:38:20Z,47.80542051581458,16.714992893535353,114.06492649391294,0.4197956446331861,156.6203292167006,2.3062954309734165,136.93026602775058,0.8160174517707721,4.483079671438606
2020-09-19T14:38:21Z,47.805418955957165,16.71498799475882,114.04872172735631,0.4169706152017886,174.22330139016086,2.244801232502799,148.32688573802255,0.8105260338695675,4.363544512424447
2020-09-19T14:38:22Z,47.805417396099756,16.714983095982284,114.0325169607997,0.41414558577039107,191.8262735636211,2.1663440230238,161.2750935640916,0.8050346159683628,4.211035897886436
2020-09-19T14:38:23Z,47.80541583624234,16.714978197205753,114.01631219424307,0.41132055633899356,209.42924573708132,2.1097485401168763,175.7748895059577,0.7995431980671581,4.101023080140796
2020-09-19T14:38:24Z,47.80541427638493,16.714973298429218,114.00010742768646,0.40849552690759605,227.03221791054156,2.050626233707772,191.82627356362087,0.7940517801659535,3.986098510447073
2020-09-19T14:38:25Z,47.80541271652751,16.714968399652683,113.98390266112983,0.40567049747619854,244.6351900840018,1.9889771037964887,209.4292457370811,0.7885603622647488,3.8662621888052695
2020-09-19T14:38:26Z,47.80541151777782,16.714960240873623,113.91632168670185,0.4612742902973132,247.891539169186,1.9234432353056397,224.1628932928861,0.8966454886988809,3.7388745394710057
2020-09-19T14:38:27Z,47.80541031902813,16.714952082094563,113.84874071227387,0.5168780831184279,251.14788825437017,1.8561243137407346,236.02721623103594,1.004730615133013,3.608017024550024
2020-09-19T14:38:28Z,47.80540912027844,16.714943923315506,113.78115973784588,0.5724818759395425,254.40423733955436,1.7060568163233003,245.02221455153054,1.1128157415671451,3.3163091462007994
2020-09-19T14:38:29Z,47.80540792152875,16.714935764536445,113.7135787634179,0.6280856687606572,257.66058642473854,1.608987623591696,251.14788825436995,1.2209008680012774,3.127621730523815
2020-09-19T14:38:30Z,47.80540353205678,16.714929159339277,113.7596361041069,0.6451292766926008,249.57157804187105,1.5219187445250044,252.13516584594382,1.254030991411103,2.9583733694870498
2020-09-19T14:38:31Z,47.80539914258482,16.714922554142113,113.8056934447959,0.6621728846245443,241.48256965900356,1.4701007734875375,250.85337194390732,1.2871611148209283,2.8576472918764226
2020-09-19T14:38:32Z,47.80539475311285,16.714915948944945,113.85175078548491,0.6792164925564879,233.39356127613604,1.3892336834983188,247.3025065482605,1.320291238230754,2.700454244381181
2020-09-19T14:38:33Z,47.80539036364088,16.714909343747777,113.89780812617391,0.6962601004884315,225.30455289326855,1.3257063349331177,241.48256965900333,1.3534213616405795,2.5769669577533607
2020-09-19T14:38:34Z,47.80538664618083,16.714905283070703,114.0634845994413,0.6648743480045421,223.49685599854922,1.2539273983773218,234.64982357376547,1.2924123395336673,2.437439867256133
2020-09-19T14:38:35Z,47.805382928720775,16.714901222393628,114.22916107270866,0.6334885955206528,221.68915910382987,1.1811480315433631,229.0733397861572,1.231403317426755,2.2959680958726283
2020-09-19T14:38:36Z,47.80537921126072,16.714897161716557,114.39483754597605,0.6021028430367636,219.88146220911054,1.064681524697643,224.75311829617863,1.170394295319843,2.069575317986779
2020-09-19T14:38:37Z,47.80537549380067,16.714893101039483,114.56051401924341,0.5707170905528743,218.07376531439118,1.0075369710473494,221.68915910382967,1.1093852732129306,1.9584951921006792
